column,file,stage,dtype
goods-title-link,us-shein-home_and_kitchen-3719.csv,raw,object
rank-title,us-shein-home_and_kitchen-3719.csv,raw,object
rank-sub,us-shein-home_and_kitchen-3719.csv,raw,object
price,us-shein-home_and_kitchen-3719.csv,raw,object
selling_proposition,us-shein-home_and_kitchen-3719.csv,raw,object
discount,us-shein-home_and_kitchen-3719.csv,raw,object
goods-title-link--jump,us-shein-home_textile-3883.csv,raw,object
goods-title-link--jump href,us-shein-home_textile-3883.csv,raw,object
rank-title,us-shein-home_textile-3883.csv,raw,object
rank-sub,us-shein-home_textile-3883.csv,raw,object
price,us-shein-home_textile-3883.csv,raw,object
color-count,us-shein-home_textile-3883.csv,raw,float64
selling_proposition,us-shein-home_textile-3883.csv,raw,object
discount,us-shein-home_textile-3883.csv,raw,object
goods-title-link,us-shein-home_textile-3883.csv,raw,object
goods-title-link--jump,us-shein-jewelry_and_accessories-3548.csv,raw,object
goods-title-link--jump href,us-shein-jewelry_and_accessories-3548.csv,raw,object
rank-title,us-shein-jewelry_and_accessories-3548.csv,raw,object
rank-sub,us-shein-jewelry_and_accessories-3548.csv,raw,object
price,us-shein-jewelry_and_accessories-3548.csv,raw,object
selling_proposition,us-shein-jewelry_and_accessories-3548.csv,raw,object
discount,us-shein-jewelry_and_accessories-3548.csv,raw,object
goods-title-link,us-shein-jewelry_and_accessories-3548.csv,raw,object
color-count,us-shein-kids-4314.csv,raw,float64
goods-title-link--jump,us-shein-kids-4314.csv,raw,object
goods-title-link--jump href,us-shein-kids-4314.csv,raw,object
rank-title,us-shein-kids-4314.csv,raw,object
rank-sub,us-shein-kids-4314.csv,raw,object
price,us-shein-kids-4314.csv,raw,object
discount,us-shein-kids-4314.csv,raw,object
selling_proposition,us-shein-kids-4314.csv,raw,object
goods-title-link,us-shein-kids-4314.csv,raw,object
color-count,us-shein-mens_clothes-1891.csv,raw,float64
goods-title-link,us-shein-mens_clothes-1891.csv,raw,object
selling_proposition,us-shein-mens_clothes-1891.csv,raw,object
price,us-shein-mens_clothes-1891.csv,raw,object
