color-count,goods-title-link--jump,goods-title-link--jump href,rank-title,rank-sub,price,discount,selling_proposition,goods-title-link,product_title
4.0,Tween Boy Ripped Washed Jeans,https://us.shein.com/Tween-Boy-Ripped-Washed-Jeans-p-20835800.html?src_identifier=fc%3DKids%60sc%3DKids%60tc%3D0%60oc%3D0%60ps%3Dtab05navbar05%60jc%3DitemPicking_017185550&src_module=topcat&src_tab_page_id=page_select_class1718911041796&mallCode=1&pageListType=2,#5 Best Sellers,in Tween Boys Denim,,,,<NA>,Tween Boy Ripped Washed Jeans
12.0,2 Pcs/Set New Baby Girls Boys Cute Solid Color Bowknot Hairband Round Sunglasses Set Children Sunglasses Kids Hair Accessories,https://us.shein.com/2-Pcs-Set-New-Baby-Girls-Boys-Cute-Solid-Color-Bowknot-Hairband-Round-Sunglasses-Set-Children-Sunglasses-Kids-Hair-Accessories-p-30585402.html?src_identifier=fc%3DKids%60sc%3DKids%60tc%3D0%60oc%3D0%60ps%3Dtab05navbar05%60jc%3DitemPicking_017185550&src_module=topcat&src_tab_page_id=page_select_class1718911041796&mallCode=1&pageListType=2,,,,,100+ sold recently,<NA>,2 Pcs/Set New Baby Girls Boys Cute Solid Color Bowknot Hairband Round Sunglasses Set Children Sunglasses Kids Hair Accessories
,SHEIN Teen Girls Ripped Roll Up Hem Denim Shorts,https://us.shein.com/SHEIN-Teen-Girls-Ripped-Roll-Up-Hem-Denim-Shorts-p-16332538.html?src_identifier=fc%3DKids%60sc%3DKids%60tc%3D0%60oc%3D0%60ps%3Dtab05navbar05%60jc%3DitemPicking_017185550&src_module=topcat&src_tab_page_id=page_select_class1718911041796&mallCode=1&pageListType=2,#1 Best Sellers,in Teen Girls Denim Shorts,,,,<NA>,SHEIN Teen Girls Ripped Roll Up Hem Denim Shorts
,Young Girl Summer Solid Pink Single-Breasted Short Sleeve Shirt + Shorts Casual Outfit Set,https://us.shein.com/Young-Girl-Summer-Solid-Pink-Single-Breasted-Short-Sleeve-Shirt-Shorts-Casual-Outfit-Set-p-34182448.html?src_identifier=fc%3DKids%60sc%3DKids%60tc%3D0%60oc%3D0%60ps%3Dtab05navbar05%60jc%3DitemPicking_017185550&src_module=topcat&src_tab_page_id=page_select_class1718911041796&mallCode=1&pageListType=2,#3 Best Sellers,in Young Girls Clothing,,,,<NA>,Young Girl Summer Solid Pink Single-Breasted Short Sleeve Shirt + Shorts Casual Outfit Set
4.0,<NA>,<NA>,#1 Best Sellers,in Tween Girls Bodysuits & Jumpsuits,,,,SHEIN Tween Girls' Summer Casual Striped Sleeveless Romper With Round Neckline And Long Sleeves,SHEIN Tween Girls' Summer Casual Striped Sleeveless Romper With Round Neckline And Long Sleeves
,<NA>,<NA>,,,,,70+ sold recently,2pcs Boy's Blue Lightning Print Short Sleeve T-Shirt And Shorts Set - Comfy And Stretchable Outfit For Children,2pcs Boy's Blue Lightning Print Short Sleeve T-Shirt And Shorts Set - Comfy And Stretchable Outfit For Children
5.0,<NA>,<NA>,,,,,3.5k+ sold recently,Young Girl 2-Piece Cute Bubble Texture Short Sleeve Top And Shorts Set For Summer,Young Girl 2-Piece Cute Bubble Texture Short Sleeve Top And Shorts Set For Summer
19.0,<NA>,<NA>,#4 Best Sellers,in Tween Girls Bodysuits & Jumpsuits,,,,"SHEIN Big Girls' Knitted All-Match Solid Color Jumpsuit, Short Sleeve, Black, Street Style, Spring/Summer","SHEIN Big Girls' Knitted All-Match Solid Color Jumpsuit, Short Sleeve, Black, Street Style, Spring/Summer"
,<NA>,<NA>,#10 Best Sellers,in Tween Girls Jeans,,,,SHEIN Streecool Kids Tween Girl Heavy Washed Irregular Waist Multi-Pocket Loose Jeans,SHEIN Streecool Kids Tween Girl Heavy Washed Irregular Waist Multi-Pocket Loose Jeans
,<NA>,<NA>,#3 Best Sellers,in Tween Girls Denim,,,,SHEIN Tween Girl Flap Pocket Solid Denim Skirt,SHEIN Tween Girl Flap Pocket Solid Denim Skirt
,<NA>,<NA>,#3 Best Sellers,in Teen Girls Sets,,,,Teen Girl Character Print Simple Round Neck Short-Sleeved Two-Piece Set,Teen Girl Character Print Simple Round Neck Short-Sleeved Two-Piece Set
4.0,<NA>,<NA>,,,,,7.0k+ sold recently,SHEIN Young Girl Slogan Print Short Sleeve T-Shirt And Shorts 2pcs/Set,SHEIN Young Girl Slogan Print Short Sleeve T-Shirt And Shorts 2pcs/Set
7.0,<NA>,<NA>,#2 Best Sellers,in Teen Girls Bottoms,,,,SHEIN 2pcs Teen Girl Elastic Waist Stretchy Undershorts,SHEIN 2pcs Teen Girl Elastic Waist Stretchy Undershorts
,<NA>,<NA>,,,,,1.0k+ sold recently,Girls' Casual Fashionable Colorful Letter Slogan Printed Short Sleeve T-Shirt,Girls' Casual Fashionable Colorful Letter Slogan Printed Short Sleeve T-Shirt
,<NA>,<NA>,#1 Best Sellers,in Teen Girls Tops,,,,"SHEIN Teen Girls' Knitted Mesh Floral Pattern Crop Top With Split Hem, Ruched Bust","SHEIN Teen Girls' Knitted Mesh Floral Pattern Crop Top With Split Hem, Ruched Bust"
4.0,<NA>,<NA>,,,,,2.3k+ sold recently,SHEIN Tween Girls' Cool Street Style Knit Star Print Round Neck Top And Drawstring Jogger Pants Concert Outfit,SHEIN Tween Girls' Cool Street Style Knit Star Print Round Neck Top And Drawstring Jogger Pants Concert Outfit
,<NA>,<NA>,,,,,30+ sold recently,SHEIN Teen Girl White Loose Split Band Jacquard Beach Vacation Semi-Sheer Sunscreen Knitted Cover Up Cover-Up,SHEIN Teen Girl White Loose Split Band Jacquard Beach Vacation Semi-Sheer Sunscreen Knitted Cover Up Cover-Up
6.0,<NA>,<NA>,,,,,1.8k+ sold recently,SHEIN Tween Girl Heart & Slogan Graphic Tee,SHEIN Tween Girl Heart & Slogan Graphic Tee
7.0,<NA>,<NA>,,,,,2.4k+ sold recently,"200 Pcs/Bag Mix Color Children Cute Cartoon Elastic Hair Bands Baby Girls Lovely Srunchies Rubber Bands Kid Hair Accessories Set Bag Only Show ,Random Packing","200 Pcs/Bag Mix Color Children Cute Cartoon Elastic Hair Bands Baby Girls Lovely Srunchies Rubber Bands Kid Hair Accessories Set Bag Only Show ,Random Packing"
,<NA>,<NA>,,,,,1.0k+ sold recently,SHEIN Young Girl Daily Casual Home Wear Solid Color Sleeveless Vest And Shorts Set,SHEIN Young Girl Daily Casual Home Wear Solid Color Sleeveless Vest And Shorts Set
